id;propietario;numero_exp;ufinca;plano_exp;area_exp;tipo_exp;seccion;finca_madre;monto_ava;num_ava;condicion
24;privado;;;SIII-23-85;0,00;parcial;3;;0,00;;sin iniciar
25;privado;;;SIII-23-86;0,00;parcial;3;;0,00;;sin iniciar
26;privado;;;SIII-23-87-2;0,00;parcial;3;2-00450725;0,00;;sin iniciar
27;privado;;;SIII-23-87-3;0,00;parcial;3;2-00452506;0,00;;sin iniciar
28;del estado;2020-06;1-00730964;SJ-2196855-2020;110,00;parcial;1;1-00545083;40174331,00;010-2021;finalizado
29;del estado;2019-05;2-00593814;A-2140785-2019;252,00;parcial;2;2-00245936;7641744,00;011-2019;finalizado
30;privado;2023-03;;SJ-2298226-2021;224,00;parcial;2;1-00419969;31900000,00;;en proceso
31;privado;2023-04;;A-0042950-2023;1010,00;parcial;2;2-00520295;0,00;;en proceso
32;privado;SN;;P-0045130-2022;454,00;parcial;3;6-00149011;18160000,00;;en proceso
33;del estado;2019-06;2-00588495;A-2132716-2019;2146,00;parcial;2;2-00119874;57068064,00;012-2019;finalizado
34;del estado;2019-06;2-00588494;A-2132714-2019;806,00;parcial;2;2-00119874;57068064,00;012-2019;finalizado
35;del estado;2019-04;2-00590906;A-2140093-2019;1021,00;parcial;2;2-00129658;6589501,00;014-2019;finalizado
36;privado;SN;;P-0031542-2022;3016,00;parcial;3;6-00096725;120640000,00;;en proceso
37;del estado;2019-03;2-00594273;A-2135052-2019;57,00;parcial;2;2-00519996;4814767,00;005-2019;finalizado
38;del estado;2019-08;2-00590851;A-2135051-2019;31,00;parcial;2;2-00528217;5877022,00;004-2019;finalizado
39;del estado;2019-09;2-00632449;A-2135935-2019;60,00;parcial;2;2-00524949;8799991,00;006-2019;finalizado
40;privado;2019-30;;A-2154236-2019;145,00;parcial;2;2-00096824;36702822,00;034-2019;en proceso
41;privado;2020-01;;A-2186438-2020;466,00;parcial;2;2-00035838;4020588,00;038-2019;en proceso
42;privado;2019-28;;A-2139759-2019;177,00;parcial;2;2-00420488;0,00;;desestimado
43;privado;2019-29;;A-2139762-2019;584,00;parcial;3;2-00284398;0,00;;desestimado
44;privado;2020-02;;A-2202939-2020;3256,00;parcial;2;2-00266346;181868401,00;005-2020;en proceso
45;privado;2020-02;;A-2202938-2020;1301,00;parcial;2;2-00266346;181868401,00;005-2020;en proceso
46;privado;2020-02;;A-2205697-2020;11748,00;parcial;2;2-00266346;181868401,00;005-2020;en proceso
47;privado;2020-03;;A-2202947-2020;1019,00;parcial;2;2-00090926;16588710,00;007-2020;en proceso
48;privado;2020-05;;SJ-2225589-2020;976,00;parcial;1;1-00542465;187584034,00;003-2020;en proceso
49;privado;;;A-0039430-2023;317,00;parcial;3;2-00247227;0,00;;sin iniciar
50;del estado;2020-07;1-00715245;SJ-2196857-2020;84,00;parcial;1;1-00277472;73240681,00;008-2020;finalizado
51;privado;;;SIII-23-87-5;0,00;parcial;3;2-00448467;0,00;;sin iniciar
52;privado;;;SIII-23-87-7;0,00;parcial;3;2-00283196;0,00;;sin iniciar
53;privado;;;SIII-23-92;0,00;parcial;3;;0,00;;sin iniciar
54;privado;;;SIII-23-93;0,00;parcial;3;;0,00;;sin iniciar
55;privado;;;SIII-23-98-1;0,00;parcial;3;6-00100541;0,00;;sin iniciar
56;privado;;;SIII-23-99-1;0,00;parcial;3;6-00097558;0,00;;sin iniciar
57;privado;;;SIII-23-100;0,00;parcial;3;;0,00;;sin iniciar
58;privado;;;SIII-23-101;0,00;parcial;3;;0,00;;sin iniciar
59;privado;;;SIII-23-102;0,00;parcial;3;;0,00;;sin iniciar
60;privado;;;SIII-23-103;0,00;parcial;3;;0,00;;sin iniciar
61;privado;;;A-0039264-2023;211,00;parcial;3;2-00380979;0,00;;sin iniciar
62;privado;2020-09;;A-2205699-2020;729,00;parcial;2;2-00533451;0,00;006-2020;desestimado
63;privado;;;A-0044680-2023;2893,00;parcial;3;2-00261269;0,00;;sin iniciar
64;privado;2020-16;;A-2224984-2020;859,00;parcial;2;2-00514539;10662187,00;016-2020;en proceso
65;privado;2021-05;;SJ-2308297-2021;26,00;parcial;1;1-00555111;11382148,00;006-2021;en proceso
66;privado;SN;;SJ-2229685-2020;215,00;parcial;2;1-00234647-A;0,00;;desestimado
67;privado;2019-16;;A-2156346-2019;655,00;parcial;2;2-00305638;20582010,00;030-2019;en proceso
68;privado;2022-20;;A-0016852-2022;737,00;parcial;2;2-00194160;246516439,00;007-2023;en proceso
69;privado;2019-24;;A-2139763-2019;682,00;parcial;3;2-00449286;0,00;;sin iniciar
70;privado;2019-25;;A-2139760-2019;205,00;parcial;3;2-00498324;0,00;;sin iniciar
71;privado;2019-26;;A-2139761-2019;201,00;parcial;3;2-00536595;0,00;;sin iniciar
72;privado;2019-27;;A-2139765-2019;701,00;parcial;3;2-00285307;0,00;;sin iniciar
73;privado;2022-09;;A-2299091-2021;3994,00;parcial;2;2-00420477;99798196,00;017-2022;en proceso
74;del estado;2018-03;1-00704069;SJ-2089871-2018;2625,00;parcial;1;1-00297013;787812884,00;;finalizado
75;privado;2020-08;;SJ-2201271-2020;283,00;parcial;1;1-00375536;75240681,00;009-2020;sin iniciar
76;privado;2021-08;;SJ-2286122-2021;110,00;parcial;1;1-00542465;23156251,00;004-2021;en proceso
77;privado;2022-05;;A-0034675-2022;377,00;parcial;2;2-00080285;11356410,00;009-2022;en proceso
78;privado;2022-05;;A-0030327-2022;585,00;parcial;2;2-00080285;11356410,00;009-2022;en proceso
79;privado;2022-08;;A-0035829-2022;983,00;parcial;2;2-00155453;0,00;;en proceso
80;privado;2022-06;;P-0033829-2022;2056,00;parcial;3;6-00174771;31838399,00;18-2022;en proceso
81;privado;2023-05;;SJ-2307242-2021;885,00;parcial;1;1-00092800;110625000,00;;en proceso
82;privado;2022-07;;SJ-2305725-2021;549,00;parcial;2;1-00722591;37090257,00;016-2022;en proceso
83;privado;2022-24;;SJ-2307300-2021;18,00;parcial;2;1-00662255;61455414,00;001-2023;en proceso
84;privado;2022-24;;SJ-2294986-2021;1802,00;parcial;2;1-00662255;61455414,00;001-2023;en proceso
85;privado;2022-23;;SJ-2307352-2021;421,00;parcial;2;1-00074453;9241301,00;002-2023;en proceso
86;privado;2022-21;;SJ-2294068-2021;204,00;parcial;2;1-00074451-A;9240301,00;004-2023;en proceso
87;privado;2022-19;;SJ-2312773-2021;1176,00;parcial;2;1-00311497;99026832,00;005-2023;en proceso
88;privado;;;A-0043518-2023;21,00;parcial;3;2-00284415;0,00;;sin iniciar
89;privado;2020-18;;A-2207175-2020;126,00;parcial;3;2-00155453;1183560,00;022-2020;en proceso
90;privado;2022-13;;A-2300991-2021;25,00;parcial;2;NO POSEE;2410675,00;015-2022;sin iniciar
91;privado;;;A-0037885-2023;36,00;parcial;3;2-00253834;0,00;;sin iniciar
92;privado;;;A-0036233-2023;51,00;parcial;3;2-00555445;0,00;;sin iniciar
93;privado;;;A-0037886-2023;50,00;parcial;3;2-00253834;0,00;;sin iniciar
94;privado;;;A-0040272-2023;277,00;parcial;3;2-00393528;0,00;;sin iniciar
95;privado;;;A-0039263-2023;96,00;parcial;3;2-00418114;0,00;;sin iniciar
96;privado;;;A-0037713-2023;31,00;parcial;3;2-00337877;0,00;;sin iniciar
97;privado;;;A-0036215-2023;33,00;parcial;3;2-00341123;0,00;;sin iniciar
98;privado;;;A-0043261-2023;133,00;parcial;3;2-00284678;0,00;;sin iniciar
99;privado;;;A-0048588-2023;240,00;parcial;3;2-00284678;0,00;;sin iniciar
100;privado;;;A-0045176-2023;22,00;parcial;3;2-00309073;0,00;;sin iniciar
101;privado;;;A-0052849-2023;308,00;parcial;3;2-00499129;0,00;;sin iniciar
102;del estado;2021-04;2-00625888;A-2266970-2021;2612,00;parcial;2;2-00167748;31555941,00;004-2022;finalizado
103;del estado;2021-11;2-00623474;A-2308657-2021;1824,00;parcial;2;2-00520295;11478432,00;003-2022;finalizado
104;del estado;2020-19;2-00630925;A-2230389-2020;3193,00;parcial;2;2-00080285;37605833,00;019-2020;finalizado
105;del estado;2020-17;2-00601453;A-2207057-2020;748,00;parcial;3;2-00356664;13364465,00;021-2020;finalizado
106;del estado;2020-21;2-00623033;A-2208962-2020;294,00;parcial;2;2-00020309;3492951,00;002-2022;finalizado
107;privado;;;A-0049290-2023;862,00;parcial;3;2-00450486;0,00;;sin iniciar
108;privado;;;A-0044113-2023;102,00;parcial;3;2-00256291;0,00;;sin iniciar
109;privado;;;A-0049157-2023;150,00;parcial;3;2-00543895;0,00;;sin iniciar
110;privado;;;A-0048433-2023;56,00;parcial;3;2-00379613;0,00;;sin iniciar
111;privado;;;A-0044114-2023;220,00;parcial;3;2-00256291;0,00;;sin iniciar
112;privado;;;P-0048384-2023;11,00;parcial;3;6-00085765;0,00;;sin iniciar
113;del estado;2020-20;2-00601659;A-2230386-2020;341,00;parcial;3;2-00449912;5170042,00;018-2020;finalizado
114;del estado;2019-01;2-00623582;A-2135936-2019;363,00;parcial;2;2-00043221;12191097,00;007-2019;finalizado
115;privado;;;A-0052453-2023;12,00;parcial;3;2-00464653;0,00;;sin iniciar
116;privado;SN;;A-2308727-2021;424,00;parcial;2;2-00486387;0,00;;en proceso
117;privado;2022-11;;A-2310545-2021;119,00;parcial;2;2-00245936;4982411,00;010-2022;en proceso
118;del estado;2019-11;2-00620939;A-2143013-2019;465,00;parcial;2;2-00156851;10048938,00;028-2019;finalizado
119;del estado;2019-13;2-00597967;A-2156415-2019;10,00;parcial;2;2-00250073;778126,00;001-2020;finalizado
120;del estado;2019-13;2-00597966;A-2154235-2019;130,00;parcial;2;2-00250073;7336787,00;033-2019;finalizado
121;del estado;2019-14;2-00620454;A-2154159-2019;19,00;parcial;2;2-00498577;1778684,00;015-2019;finalizado
122;privado;2022-10;;A-2299248-2021;114,00;parcial;2;2-00305638;4177074,00;013-2022;en proceso
123;privado;2022-14;;A-2300184-2021;24,00;parcial;2;2-00524949;3762304,00;011-2022;en proceso
124;privado;2021-09;;SJ-2311578-2021;446,00;parcial;1;1-00375536;36702221,00;008-2021;sin iniciar
125;del estado;2019-02;2-00593169;A-2138052-2019;50,00;parcial;2;2-00448864;1786227,00;010-2019;finalizado
126;del estado;2020-15;2-00603504;A-2204958-2020;113,00;parcial;2;2-00345576;3913211,00;011-2020;finalizado
127;del estado;2020-12;2-00601461;A-2218931-2020;1257,00;parcial;2;2-00178702;12557431,00;013-2020;finalizado
128;del estado;2020-10;2-00602745;A-2202994-2020;440,00;parcial;2;2-00520295;2566520,00;014-2020;finalizado
129;privado;2022-16;;A-2300108-2021;414,00;parcial;2;2-00127074;14179914,00;013-2022;en proceso
130;del estado;2020-14;2-00602561;A-2202949-2020;247,00;parcial;2;2-00151057;6130932,00;010-2020;finalizado
131;privado;2022-17;;A-2299134-2021;76,00;parcial;2;2-00043221;3196636,00;012-2022;en proceso
132;del estado;2019-15;2-00590690;A-2156857-2019;1935,00;parcial;2;2-00272911;58027485,00;031-2019;finalizado
133;del estado;2020-14;2-00602560;A-2202948-2020;110,00;parcial;2;2-00151057;6130932,00;010-2020;finalizado
134;del estado;2020-11;2-00601438;A-2212209-2020;115,00;parcial;2;2-00267696;23381390,00;012-2020;finalizado
135;del estado;2020-11;2-00601439;A-2212210-2020;1170,00;parcial;2;2-00267696;23381390,00;012-2020;finalizado
136;del estado;2019-17;2-00589535;A-2136821-2019;131,00;parcial;2;2-00035364;21715843,00;039-2019;finalizado
137;del estado;2019-17;2-00589537;A-2136823-2019;1160,00;parcial;2;2-00035364;21715843,00;016-2019;finalizado
138;del estado;2019-17;2-00589536;A-2155250-2019;2216,00;parcial;2;2-00035364;21715843,00;039-2019;finalizado
139;del estado;2020-13;2-00601456;A-2207029-2020;212,00;parcial;2;2-00035364;28294042,00;015-2020;finalizado
140;del estado;2020-13;2-00601457;A-2207030-2020;256,00;parcial;2;2-00035364;28294042,00;015-2020;finalizado
141;del estado;2020-13;2-00601458;A-2208987-2020;4169,00;parcial;2;2-00035364;28294042,00;015-2020;finalizado
142;del estado;2021-12;2-00616241;A-2308549-2021;10559,00;parcial;2;2-00103600;107385030,00;001-2022;finalizado
143;del estado;2019-18;2-00629897;A-2139630-2019;2209,00;parcial;2;2-00520295;13053272,00;017-2019;finalizado
144;del estado;2022-01;2-00622751;A-0002303-2022;1315,00;parcial;2;2-00329205;7697003,00;005-2022;finalizado
145;del estado;2022-02;2-00622998;A-0002508-2022;162,00;parcial;2;2-00333705;1401559,00;006-2022;finalizado
146;del estado;2020-22;2-00607901;A-2202997-2020;62,00;parcial;3;2-00520295;361646,00;017-2020;finalizado
147;privado;;;A-2203578-2020;428,00;parcial;2;2-00146780;0,00;;sin iniciar
148;privado;;;A-0036320-2023;5826,00;parcial;2;2-00570233;0,00;;sin iniciar
149;del estado;2022-03;2-00630998;A-0027467-2022;603,00;parcial;2;2-00520295;12046461,00;008-2022;finalizado
150;del estado;2021-10;1-00735148;SJ-2300784-2021;147,00;parcial;1;1-00277472;105004307,00;005-2021;finalizado
151;del estado;2022-03;2-00630999;A-0027464-2022;649,00;parcial;2;2-00520295;12046461,00;008-2022;finalizado
152;privado;;;A-2202995-2020;587,00;parcial;2;2-00520295;0,00;;sin iniciar
153;privado;2022-15;;A-2309937-2021;267,00;parcial;2;2-00448864;8986686,00;014-2022;en proceso
154;privado;2021-01;;A-2260490-2021;476,00;parcial;2;2-00514539;5413928,00;001-2021;en proceso
155;privado;2023-03;;SJ-2299968-2021;638,00;parcial;2;1-00419969;31900000,00;;en proceso
156;privado;;;A-0043647-2023;21,00;parcial;3;2-00374962;0,00;;sin iniciar
157;privado;;;A-0039629-2023;64,00;parcial;3;2-00357278;0,00;;sin iniciar
158;privado;;;A-0040191-2023;155,00;parcial;3;2-00357279;0,00;;sin iniciar
159;privado;;;A-0044411-2023;2176,00;parcial;3;2-00356664;0,00;;sin iniciar
160;privado;2022-22;;SJ-2293998-2021;631,00;parcial;2;1-00073903;13050906,00;003-2023;en proceso
161;del estado;2022-04;2-00627996;A-0012746-2022;1908,00;parcial;2;2-00533751;29840364,00;007-2022;finalizado
162;del estado;2022-03;2-00630996;A-0027474-2022;711,00;parcial;2;2-00520295;12046461,00;008-2022;finalizado
163;del estado;2018-02;2-00577424;A-2091157-2018;3163,00;parcial;2;2-00194160;131623764,00;;finalizado
164;del estado;2021-02;2-00627008;A-2267814-2021;1241,00;parcial;2;2-00035364;9876716,00;003-2021;finalizado
165;del estado;2022-03;2-00630997;A-0027469-2022;18,00;parcial;2;2-00520295;12046461,00;008-2022;finalizado
166;del estado;2021-06;1-00734923;SJ-2308179-2021;195,00;parcial;1;1-00548155;55610144,00;007-2021;finalizado
167;del estado;2021-07;1-00734936;SJ-2310371-2021;64,00;parcial;1;1-00545083;22035296,00;003-2021;finalizado
168;del estado;2022-12;2-00631911;A-2300360-2021;8,00;parcial;2;2-00528217;820288,00;014-2022;finalizado
169;privado;SN;;SJ-2325339-2021;219,00;parcial;2;1-00004212-M;10950000,00;;en proceso
170;privado;2022-18;;SJ-2293000-2021;280,00;parcial;2;1-00505269;8537145,00;006-2023;en proceso
171;privado;2022-20;;A-2296270-2021;4134,00;parcial;2;2-00194160;246516439,00;007-2023;en proceso
172;privado;;;A-2202996-2020;351,00;parcial;2;2-00520295;0,00;;sin iniciar
173;del estado;2021-03;2-00621670;A-2259782-2021;2530,00;parcial;1;2-00499779;39890447;002-2021;finalizado
